City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,nara,34.6851,135.8049,30.54000000000002,50,28,0.55,JP,1691102778
135,adwa,14.1646,38.8955,15.82000000000005,90,81,0.99,ET,1691102779
136,honningsvag,70.9821,25.9704,19.860000000000014,73,75,3.09,NO,1691102780
137,coihaique,-45.5752,-72.0662,6.970000000000027,57,75,3.09,CL,1691102781
138,kaitangata,-46.2817,169.8464,11.510000000000048,69,93,5.02,NZ,1691102781
139,asyut,27.181,31.1837,31.100000000000023,20,0,2.36,EG,1691102782
140,narsaq,60.9167,-46.05,14.120000000000005,79,54,1.5,GL,1691102782
141,mansa,29.9833,75.3833,30.83000000000004,63,47,2.14,IN,1691102783
142,kunya,12.2233,8.5325,27.090000000000032,74,0,4.12,NG,1691102784
143,flinders,-34.5833,150.8552,18.920000000000016,58,54,1.93,AU,1691102784
144,inirida,3.8653,-67.9239,24.900000000000034,91,32,0.51,CO,1691102785
145,inta,66.0317,60.1659,19.460000000000036,75,30,4.43,RU,1691102786
146,aban,56.67,96.06,16.260000000000048,93,3,1.4,RU,1691102787
147,port keats,-14.25,129.55,23.02000000000004,63,2,3.79,AU,1691102787
148,severo-yeniseyskiy,60.3725,93.0408,12.150000000000034,74,26,3.12,RU,1691102788
149,zyryanka,65.75,150.85,14.450000000000045,46,0,6.4,RU,1691102790
150,nemuro,43.3236,145.575,19.25,95,85,9.1,JP,1691102790
151,yulara,-25.2406,130.9889,17.700000000000045,37,2,2.65,AU,1691102791
152,mon,26.75,95.1,22.610000000000014,99,100,0.71,IN,1691102791
153,vaini,-21.2,-175.2,22.090000000000032,60,75,5.66,TO,1691102792
154,ribeira grande,38.5167,-28.7,23.210000000000036,87,15,2.68,PT,1691102792
155,hamilton,39.1834,-84.5333,31.670000000000016,52,0,3.6,US,1691102793
156,coquimbo,-29.9533,-71.3436,15.850000000000023,77,75,3.09,CL,1691102794
157,pangai,-19.8,-174.35,23.060000000000002,68,40,8.23,TO,1691102794
158,kavieng,-2.5744,150.7967,27.920000000000016,78,55,3.59,PG,1691102795
159,san patricio,28.017,-97.5169,37.400000000000034,47,72,7.14,US,1691102796
160,porto novo,6.4965,2.6036,23.77000000000004,88,64,2.78,BJ,1691102765
161,umm kaddadah,13.6017,26.6876,27.30000000000001,61,100,3.96,SD,1691102797
162,vao,-22.6667,167.4833,19.260000000000048,80,100,12.76,NC,1691102798
163,saskylakh,71.9167,114.0833,4.520000000000039,74,68,4.6,RU,1691102798
164,havoysund,70.9963,24.6622,20.129999999999995,84,100,4.97,NO,1691102800
165,hauterive,46.0901,3.4459,17.420000000000016,94,100,2.64,FR,1691102800
166,desbiens,48.4178,-71.9495,18.360000000000014,92,90,5.36,CA,1691102800
167,fortuna,40.5982,-124.1573,22.74000000000001,75,0,6.17,US,1691102801
168,huicungo,-7.2833,-76.8,26.129999999999995,54,1,0.71,PE,1691102801
169,mwanza,-2.5167,32.9,23.510000000000048,47,100,5.8,TZ,1691102802
170,sao gabriel da cachoeira,-0.1303,-67.0892,23.680000000000007,95,79,0.25,BR,1691102747
171,kamsack,51.5667,-101.9009,33.170000000000016,18,0,2.7,CA,1691102802
172,touros,-5.1989,-35.4608,24.82000000000005,75,28,6.92,BR,1691102803
173,oktyabrskoye,43.0645,44.7417,18.08000000000004,88,75,4.0,RU,1691102803
174,cedar city,37.6775,-113.0619,29.54000000000002,27,0,5.66,US,1691102804
175,puerto carreno,6.189,-67.4859,26.99000000000001,89,40,3.09,CO,1691102804
